iter	Passed	Remaining
474	1014	694
475	1016	692
476	1018	689
477	1021	687
478	1023	685
479	1025	683
480	1027	681
481	1029	679
482	1031	677
483	1033	674
484	1036	673
485	1038	671
486	1040	669
487	1043	666
488	1045	664
489	1046	662
490	1048	659
491	1050	657
492	1053	655
493	1055	653
494	1057	651
495	1060	649
496	1062	647
497	1064	645
498	1066	643
499	1069	641
500	1071	639
501	1073	637
502	1076	635
503	1078	633
504	1080	631
505	1082	629
506	1085	627
507	1088	625
508	1090	623
509	1092	621
510	1094	619
511	1096	616
512	1099	614
513	1102	613
514	1104	611
515	1106	609
516	1108	606
517	1110	604
518	1112	602
519	1115	600
520	1118	598
521	1120	596
522	1122	594
523	1124	592
524	1127	590
525	1129	588
526	1131	586
527	1133	584
528	1135	581
529	1137	579
530	1140	577
531	1141	575
532	1143	573
533	1145	570
534	1148	568
535	1151	566
536	1153	564
537	1155	562
538	1157	560
539	1159	558
540	1161	556
541	1164	554
542	1166	552
543	1169	550
544	1171	548
545	1173	545
546	1175	543
547	1177	541
548	1180	539
549	1182	537
550	1184	535
551	1186	533
552	1188	531
553	1190	528
554	1193	526
555	1195	524
556	1198	522
557	1200	520
558	1202	518
559	1204	516
560	1205	513
561	1207	511
562	1209	509
563	1212	507
564	1214	505
565	1216	503
566	1218	500
567	1221	498
568	1222	496
569	1224	494
570	1226	491
571	1229	490
572	1231	487
573	1233	485
574	1236	483
575	1238	481
576	1239	479
577	1241	477
578	1244	474
579	1246	472
580	1248	470
581	1251	468
582	1253	466
583	1255	464
584	1257	462
585	1260	460
586	1262	458
587	1265	456
588	1267	454
589	1269	451
590	1271	449
591	1273	447
592	1275	445
593	1277	443
594	1279	440
595	1281	438
596	1284	436
597	1286	434
598	1288	432
599	1290	430
600	1292	427
601	1294	425
602	1296	423
603	1298	421
604	1300	419
605	1302	416
606	1304	414
607	1306	412
608	1309	410
609	1311	408
610	1313	406
611	1315	404
612	1317	401
613	1319	399
614	1321	397
615	1323	395
616	1326	393
617	1328	391
618	1330	388
619	1332	386
620	1334	384
621	1336	382
622	1337	380
623	1341	378
624	1343	376
625	1345	373
626	1347	371
627	1349	369
628	1351	367
629	1353	365
630	1355	363
631	1358	361
632	1360	358
633	1362	356
634	1364	354
635	1366	352
636	1368	350
637	1370	347
638	1372	345
639	1375	343
640	1377	341
641	1379	339
642	1381	337
643	1383	335
644	1385	332
645	1388	330
646	1390	328
647	1393	326
648	1395	324
649	1397	322
650	1399	320
651	1401	318
652	1404	316
653	1406	313
654	1408	311
655	1410	309
656	1412	307
657	1415	305
658	1417	303
659	1419	301
660	1422	299
661	1424	296
662	1426	294
663	1428	292
664	1431	290
665	1433	288
666	1435	286
667	1438	284
668	1440	282
669	1442	279
670	1445	277
671	1447	275
672	1449	273
673	1452	271
674	1454	269
675	1457	267
676	1459	265
677	1461	263
678	1472	262
679	1474	260
680	1476	258
681	1478	255
682	1480	253
683	1482	251
