iter	Logloss
0	0.686408163
1	0.6802261399
2	0.6742615812
3	0.6680530339
4	0.6622852088
5	0.6564479429
6	0.6509609022
7	0.6451165358
8	0.6398402086
9	0.634612635
10	0.6295963721
11	0.6252240924
12	0.6207165683
13	0.6164612776
14	0.6119583518
15	0.607527564
16	0.603332864
17	0.5990416738
18	0.5953602345
19	0.5918893954
20	0.5874957817
21	0.5834444207
22	0.5795578877
23	0.5760306658
24	0.5729357624
25	0.5693616123
26	0.5668655867
27	0.564995153
28	0.5617297595
29	0.5582725833
30	0.5547305215
31	0.5516991986
32	0.5488011744
33	0.54594679
34	0.5431358309
35	0.5410261205
36	0.5384199228
37	0.5359124558
38	0.5330013148
39	0.530758287
40	0.5281358715
41	0.5257351895
42	0.5232778795
43	0.5210853
44	0.5186029994
45	0.5164821558
46	0.5142332937
47	0.5122588048
48	0.5102100255
49	0.5086618652
50	0.5065575067
51	0.5048465504
52	0.5029922091
53	0.5013325035
54	0.4997341591
55	0.4980322156
56	0.4962828955
57	0.4948917708
58	0.4933357894
59	0.4916248095
60	0.4901115458
61	0.488742592
62	0.48734381
63	0.4859269645
64	0.4847663672
65	0.4834452081
66	0.482220898
67	0.4808235464
68	0.4799663783
69	0.4785326447
70	0.4770881857
71	0.4763026556
72	0.4751380041
73	0.4740829533
74	0.4730504682
75	0.4717791386
76	0.4709529257
77	0.469808958
78	0.4685837528
79	0.4676292272
80	0.4666809603
81	0.4656889133
82	0.4650677461
83	0.4641609763
84	0.4634172786
85	0.4624935086
86	0.4616265146
87	0.4609099269
88	0.460065075
89	0.4593347375
90	0.4586169456
91	0.4578200954
92	0.4570730039
93	0.4563757029
94	0.4556266779
95	0.4548881091
96	0.4540852575
97	0.4535045669
98	0.4528712414
99	0.4520637846
100	0.4514616318
101	0.4508711901
102	0.4501709103
103	0.4494021123
104	0.4486984602
105	0.4482025183
106	0.4477193188
107	0.4470932627
108	0.4464255973
109	0.4458098743
110	0.4451910894
111	0.4445778413
112	0.4440113516
113	0.4435248448
114	0.4429393942
115	0.4423434057
116	0.4418847105
117	0.4412183107
118	0.4406823326
119	0.4401528373
120	0.439772819
121	0.4392316499
122	0.4386776155
123	0.4382489304
124	0.4377237949
125	0.437566172
126	0.4371157692
127	0.4365649957
128	0.4360276969
129	0.4354654983
130	0.4350186363
131	0.4346131327
132	0.4341133698
133	0.4336525533
134	0.4332568646
135	0.4329016057
136	0.432534591
137	0.4322887504
138	0.4317791435
139	0.4313655126
140	0.4309954882
141	0.4308128907
142	0.4304844333
143	0.4301225304
144	0.4297650512
145	0.4293306724
146	0.4288877198
147	0.42845211
148	0.4282220091
149	0.427841168
150	0.4274660859
151	0.4270255674
152	0.4266541611
153	0.4262358873
154	0.4259003269
155	0.4254973591
156	0.4251699799
157	0.4248475678
158	0.4245931604
159	0.4243330113
160	0.4239937505
161	0.4237083475
162	0.423434757
163	0.4231582303
164	0.4228487823
165	0.4225607716
166	0.4222562292
167	0.4219421054
168	0.421635634
169	0.4213515969
170	0.4210599352
171	0.4207754336
172	0.4205040992
173	0.4201893543
174	0.419847607
175	0.4195860384
176	0.4192765068
177	0.4190431132
178	0.4187633476
179	0.4186141197
180	0.4184712176
181	0.4181687171
182	0.4179563897
183	0.4176622735
184	0.417448163
185	0.4172005364
186	0.417002012
187	0.4167817321
188	0.4164911735
189	0.4162624555
190	0.4161050924
191	0.4159281527
192	0.4156669107
193	0.4154974407
194	0.4152458168
195	0.4149875607
196	0.4147717186
197	0.4145580728
198	0.4142902078
199	0.4141003012
200	0.4139025122
201	0.413713819
202	0.4135612534
203	0.4133827902
204	0.4131449889
205	0.4128959157
206	0.4126251786
207	0.4123598945
208	0.4121466722
209	0.4118989131
210	0.4117123775
211	0.4115455061
212	0.4113787237
213	0.4112262732
214	0.4110152241
215	0.4108842291
216	0.410625108
217	0.4104374399
218	0.410287124
219	0.4101134205
220	0.4099295925
221	0.4097815195
222	0.409573248
223	0.4093612946
224	0.4091733113
225	0.4089904958
226	0.4088894325
227	0.4086887753
228	0.4085074232
229	0.4083917985
230	0.4081819385
231	0.4080457868
232	0.4078586973
233	0.4077319645
234	0.4075813852
235	0.4073980722
236	0.4072600494
237	0.4070909394
238	0.4069379303
239	0.4067975796
240	0.4066497067
241	0.4064879708
242	0.4063367028
243	0.4062113971
244	0.4060049656
245	0.4058554662
246	0.4056756489
247	0.405479244
248	0.4053561883
249	0.4052155101
250	0.4050388175
251	0.4048800692
252	0.4047411669
253	0.4045665401
254	0.4044488672
255	0.4042871842
256	0.404115333
257	0.4039530123
258	0.4038128918
259	0.4036804996
260	0.403551234
261	0.4034062855
262	0.4032396885
263	0.403127205
264	0.4029863374
265	0.4028649359
266	0.402768417
267	0.4026314421
268	0.4025503084
269	0.4023579961
270	0.4022079929
271	0.4020781361
272	0.4019528088
273	0.4017892428
274	0.4016370017
275	0.4015347344
276	0.4014205486
277	0.4013034438
278	0.401132401
279	0.4009760554
280	0.4009001481
281	0.400780718
282	0.4006231095
283	0.4004762468
284	0.4003546429
285	0.4001982198
286	0.4000492229
287	0.3999193662
288	0.399829616
289	0.3997434559
290	0.3995907738
291	0.3994661417
292	0.3993832979
293	0.3992772709
294	0.3991261138
295	0.3989228049
296	0.3988352269
297	0.3986937835
298	0.3985886609
299	0.3984917453
300	0.3983030145
301	0.3982159498
302	0.3981117668
303	0.3979810228
304	0.3978518879
305	0.3977281244
306	0.3976159924
307	0.3974683131
308	0.3973233598
309	0.3972529377
310	0.3970978772
311	0.3969822152
312	0.3968832488
313	0.3968204644
314	0.3967688894
315	0.3966435781
316	0.3965162726
317	0.3963971024
318	0.3962542558
319	0.3961865668
320	0.3960692149
321	0.3959796925
322	0.3958517122
323	0.3957544601
324	0.3956690974
325	0.3956171462
326	0.39551004
327	0.395375918
328	0.3952720763
329	0.3952079373
330	0.3951005984
331	0.3949771404
332	0.3948951109
333	0.3947699957
334	0.3947113695
335	0.3946300136
336	0.3945037465
337	0.3943399257
338	0.3942793469
339	0.3941392138
340	0.3940189434
341	0.3940108623
342	0.393898111
343	0.393773103
344	0.3935842867
345	0.3935006082
346	0.393483602
347	0.3933890921
348	0.3932816001
349	0.3931769543
350	0.3930763407
351	0.3929387734
352	0.3928534252
353	0.3927896396
354	0.3926284174
355	0.3925604552
356	0.3924071237
357	0.3923107334
358	0.3921774006
359	0.3921045995
360	0.3920108869
361	0.3918609964
362	0.3917881142
363	0.3917208858
364	0.3916698547
365	0.3916108855
366	0.3915266754
